"slug","name","season"
"danietr01","Troy Daniels","2015"
"gasolma01","Marc Gasol","2015"
"westbru01","Russell Westbrook","2015"
"boshch01","Chris Bosh","2015"
"gibsota01","Taj Gibson","2015"
"youngth01","Thaddeus Young","2015"
"hibbero01","Roy Hibbert","2015"
"farieke01","Kenneth Faried","2015"
"curryst01","Stephen Curry","2015"
"randoza01","Zach Randolph","2015"
"aldrila01","LaMarcus Aldridge","2015"
"bledser01","Eric Bledsoe","2015"
"gasolpa01","Pau Gasol","2015"
"knighbr03","Brandon Knight","2015"
"matthwe02","Wesley Matthews","2015"
"kiddgmi01","Michael Kidd-Gilchrist","2015"
"favorde01","Derrick Favors","2015"
"thomais02","Isaiah Thomas","2015"
"teletmi01","Mirza Teletovic","2015"
"wroteto01","Tony Wroten","2015"
"korveky01","Kyle Korver","2015"
"piercpa01","Paul Pierce","2015"
"teaguje01","Jeff Teague","2015"
"willima02","Marvin Williams","2015"
"valanjo01","Jonas Valanciunas","2015"
"johnsam01","Amir Johnson","2015"
"walkeke02","Kemba Walker","2015"
"rondora01","Rajon Rondo","2015"
"lowryky01","Kyle Lowry","2015"
"collida01","Darren Collison","2015"
"olynyke01","Kelly Olynyk","2015"
"greenje02","Jeff Green","2015"
"shvedal01","Alexey Shved","2015"
"coleno01","Norris Cole","2015"
"morrima03","Marcus Morris","2015"
"willide01","Deron Williams","2015"
"brookaa01","Aaron Brooks","2015"
"wadedw01","Dwyane Wade","2015"
"stuckro01","Rodney Stuckey","2015"
"scottmi01","Mike Scott","2015"
"batumni01","Nicolas Batum","2015"
"dragigo01","Goran Dragic","2015"
"smithjo03","Josh Smith","2015"
"mayooj01","O.J. Mayo","2015"
"willima01","Mo Williams","2015"
"burksal01","Alec Burks","2015"
"horfoal01","Al Horford","2015"
"sloando01","Donald Sloan","2015"
"walljo01","John Wall","2015"
"gortama01","Marcin Gortat","2015"
"thompkl01","Klay Thompson","2015"
"goodedr01","Drew Gooden","2015"
"anderch01","Chris Andersen","2015"
"conlemi01","Mike Conley","2015"
"jeffeal01","Al Jefferson","2015"
"lopezro01","Robin Lopez","2015"
"smartma01","Marcus Smart","2015"
"thomala01","Lance Thomas","2015"
"rosede01","Derrick Rose","2015"
"rosste01","Terrence Ross","2015"
"porteot01","Otto Porter","2015"
"muhamsh01","Shabazz Muhammad","2015"
"stoudam01","Amar'e Stoudemire","2015"
"derozde01","DeMar DeRozan","2015"
"sullija01","Jared Sullinger","2015"
"mcderdo01","Doug McDermott","2015"
"ellinwa01","Wayne Ellington","2015"
"leeco01","Courtney Lee","2015"
"speigma01","Marreese Speights","2015"
"booketr01","Trevor Booker","2015"
"dienggo01","Gorgui Dieng","2015"
"johnsjo02","Joe Johnson","2015"
"augusdj01","D.J. Augustin","2015"
"sandela01","Larry Sanders","2015"
"mozgoti01","Timofey Mozgov","2015"
"antetgi01","Giannis Antetokounmpo","2015"
"morrima02","Markieff Morris","2015"
"plumlmi01","Miles Plumlee","2015"
"haywago01","Gordon Hayward","2015"
"greendr01","Draymond Green","2015"
"daviebr01","Brandon Davies","2015"
"jackja01","Jarrett Jack","2015"
"kamanch01","Chris Kaman","2015"
"pattepa01","Patrick Patterson","2015"
"turneev01","Evan Turner","2015"
"drumman01","Andre Drummond","2015"
"anthoca01","Carmelo Anthony","2015"
"denglu01","Luol Deng","2015"
"millspa01","Paul Millsap","2015"
"middlkh01","Khris Middleton","2015"
"perkike01","Kendrick Perkins","2015"
"allenla01","Lavoy Allen","2015"
"couside01","DeMarcus Cousins","2015"
"landrca01","Carl Landry","2015"
"vasqugr01","Greivis Vasquez","2015"
"afflaar01","Arron Afflalo","2015"
"thornma01","Marcus Thornton","2015"
"jeffeco01","Cory Jefferson","2015"
"adamsst01","Steven Adams","2015"
"dalemsa01","Samuel Dalembert","2015"
"thompho01","Hollis Thompson","2015"
"burketr01","Trey Burke","2015"
"allento01","Tony Allen","2015"
"zelleco01","Cody Zeller","2015"
"lillada01","Damian Lillard","2015"
"prigipa01","Pablo Prigioni","2015"
"stephla01","Lance Stephenson","2015"
"carrode01","DeMarre Carroll","2015"
"johnsch04","Chris Johnson","2015"
"gayru01","Rudy Gay","2015"
"ilyaser01","Ersan Ilyasova","2015"
"dudleja01","Jared Dudley","2015"
"copelch01","Chris Copeland","2015"
"bradlav01","Avery Bradley","2015"
"scolalu01","Luis Scola","2015"
"garneke01","Kevin Garnett","2015"
"larkish01","Shane Larkin","2015"
"rubiori01","Ricky Rubio","2015"
"bassbr01","Brandon Bass","2015"
"parkeja01","Jabari Parker","2015"
"roberan03","Andre Roberson","2015"
"bogutan01","Andrew Bogut","2015"
"mirotni01","Nikola Mirotic","2015"
"tollian01","Anthony Tolliver","2015"
"zellety01","Tyler Zeller","2015"
"hansbty01","Tyler Hansbrough","2015"
"hillso01","Solomon Hill","2015"
"mahinia01","Ian Mahinmi","2015"
"hensojo01","John Henson","2015"
"hinriki01","Kirk Hinrich","2015"
"roberbr01","Brian Roberts","2015"
"milescj01","C.J. Miles","2015"
"chandwi01","Wilson Chandler","2015"
"exumda01","Dante Exum","2015"
"gallida01","Danilo Gallinari","2015"
"aldrico01","Cole Aldrich","2015"
"chalmma01","Mario Chalmers","2015"
"simshe01","Henry Sims","2015"
"templga01","Garrett Temple","2015"
"barneha02","Harrison Barnes","2015"
"ibakase01","Serge Ibaka","2015"
"foyera01","Randy Foye","2015"
"jerebjo01","Jonas Jerebko","2015"
"napiesh01","Shabazz Napier","2015"
"shumpim01","Iman Shumpert","2015"
"hoodro01","Rodney Hood","2015"
"smithjr01","J.R. Smith","2015"
"willilo02","Lou Williams","2015"
"noahjo01","Joakim Noah","2015"
"acyqu01","Quincy Acy","2015"
"kanteen01","Enes Kanter","2015"
"wiggian01","Andrew Wiggins","2015"
"ennisja01","James Ennis","2015"
"kirilan01","Andrei Kirilenko","2015"
"crabbal01","Allen Crabbe","2015"
"bogdabo02","Bojan Bogdanovic","2015"
"nurkiju01","Jusuf Nurkic","2015"
"pondequ01","Quincy Pondexter","2015"
"bennean01","Anthony Bennett","2015"
"blakest01","Steve Blake","2015"
"plumlma01","Mason Plumlee","2015"
"thomama01","Malcolm Thomas","2015"
"ezelife01","Festus Ezeli","2015"
"johnsja01","James Johnson","2015"
"nealga01","Gary Neal","2015"
"bazemke01","Kent Bazemore","2015"
"geeal01","Alonzo Gee","2015"
"smithja02","Jason Smith","2015"
"bayleje01","Jerryd Bayless","2015"
"maxieja01","Jason Maxiell","2015"
"butlera01","Rasual Butler","2015"
"holliry01","Ryan Hollins","2015"
"randosh01","Shavlik Randolph","2015"
"singlky01","Kyle Singler","2015"
"collini01","Nick Collison","2015"
"anderal01","Alan Anderson","2015"
"goberru01","Rudy Gobert","2015"
"lenal01","Alex Len","2015"
"willish03","Shawne Williams","2015"
"breweco01","Corey Brewer","2015"
"jennibr01","Brandon Jennings","2015"
"robinna01","Nate Robinson","2015"
"robinth01","Thomas Robinson","2015"
"anthojo01","Joel Anthony","2015"
"holidju01","Justin Holiday","2015"
"stausni01","Nik Stauskas","2015"
"macksh01","Shelvin Mack","2015"
"mcgeeja01","JaVale McGee","2015"
"pachuza01","Zaza Pachulia","2015"
"casspom01","Omri Casspi","2015"
"willide02","Derrick Williams","2015"
"barbole01","Leandro Barbosa","2015"
"earlycl01","Cleanthony Early","2015"
"hardati02","Tim Hardaway","2015"
"pekovni01","Nikola Pekovic","2015"
"thompja02","Jason Thompson","2015"
"freeljo01","Joel Freeland","2015"
"noelne01","Nerlens Noel","2015"
"snellto01","Tony Snell","2015"
"ennisty01","Tyler Ennis","2015"
"mcdankj01","K.J. McDaniels","2015"
"bartowi01","Will Barton","2015"
"livinsh01","Shaun Livingston","2015"
"mccalra01","Ray McCallum","2015"
"cartevi01","Vince Carter","2015"
"evansre01","Reggie Evans","2015"
"iguodan01","Andre Iguodala","2015"
"karasse01","Sergey Karasev","2015"
"millean02","Andre Miller","2015"
"wrighdo01","Dorell Wright","2015"
"brandel01","Elton Brand","2015"
"dunlemi02","Mike Dunleavy","2015"
"schrode01","Dennis Schroder","2015"
"dinwisp01","Spencer Dinwiddie","2015"
"hendege02","Gerald Henderson","2015"
"udrihbe01","Beno Udrih","2015"
"arthuda01","Darrell Arthur","2015"
"kuzmiog01","Ognjen Kuzmic","2015"
"inglejo01","Joe Ingles","2015"
"koufoko01","Kosta Koufos","2015"
"mooreet01","E'Twaun Moore","2015"
"caldwke01","Kentavious Caldwell-Pope","2015"
"goodwar01","Archie Goodwin","2015"
"jordaje01","Jerome Jordan","2015"
"sefolth01","Thabo Sefolosha","2015"
"telfase01","Sebastian Telfair","2015"
"lawsoty01","Ty Lawson","2015"
"butleca01","Caron Butler","2015"
"serapke01","Kevin Seraphin","2015"
"budinch01","Chase Budinger","2015"
"leuerjo01","Jon Leuer","2015"
"bairsca01","Cameron Bairstow","2015"
"weartr01","Travis Wear","2015"
"rudezda01","Damjan Rudez","2015"
"greenge01","Gerald Green","2015"
"humphkr01","Kris Humphries","2015"
"jonespe01","Perry Jones","2015"
"sessira01","Ramon Sessions","2015"
"mccolcj01","CJ McCollum","2015"
"sampsja02","JaKarr Sampson","2015"
"mclembe01","Ben McLemore","2015"
"paulch01","Chris Paul","2015"
"irvinky01","Kyrie Irving","2015"
"loveke01","Kevin Love","2015"
"griffbl01","Blake Griffin","2015"
"hilarne01","Nene Hilario","2015"
"varejan01","Anderson Varejao","2015"
"jordade01","DeAndre Jordan","2015"
"crawfja01","Jamal Crawford","2015"
"martike02","Kevin Martin","2015"
"barnema02","Matt Barnes","2015"
"dellama01","Matthew Dellavedova","2015"
"farmajo01","Jordan Farmar","2015"
"novakst01","Steve Novak","2015"
"waitedi01","Dion Waiters","2015"
"bareajo01","J.J. Barea","2015"
"jamesle01","LeBron James","2015"
"thomptr01","Tristan Thompson","2015"
"clarkia01","Ian Clark","2015"
"hawessp01","Spencer Hawes","2015"
"ricegl02","Glen Rice","2015"
"mariosh01","Shawn Marion","2015"
"lavinza01","Zach LaVine","2015"
"millemi01","Mike Miller","2015"
"nichoan01","Andrew Nicholson","2015"
"douglch01","Chris Douglas-Roberts","2015"
"udohek01","Ekpe Udoh","2015"
"villach01","Charlie Villanueva","2015"
"fryech01","Channing Frye","2015"
"redicjj01","J.J. Redick","2015"
"mbahalu01","Luc Mbah a Moute","2015"
"leonaka01","Kawhi Leonard","2015"
"princta01","Tayshaun Prince","2015"
"dayeau01","Austin Daye","2015"
"turkohe01","Hedo Turkoglu","2015"
"pendeje02","Jeff Ayres","2015"
"woltena01","Nate Wolters","2015"
"harrijo01","Joe Harris","2015"
"marshke01","Kendall Marshall","2015"
"monrogr01","Greg Monroe","2015"
"butleji01","Jimmy Butler","2015"
"youngja01","James Young","2015"
"harklma01","Maurice Harkless","2015"
"hummero01","Robbie Hummel","2015"
"anticpe01","Pero Antic","2015"
"hamilju01","Justin Hamilton","2015"
"pressph01","Phil Pressey","2015"
"blairde01","DeJuan Blair","2015"
"fieldla01","Landry Fields","2015"
"johnsni01","Nick Johnson","2015"
"dorsejo01","Joey Dorsey","2015"
"dawkian01","Andre Dawkins","2015"
"mcrobjo01","Josh McRoberts","2015"
"brownsh01","Shannon Brown","2015"
"cunnija01","Jared Cunningham","2015"
"hayesch01","Chuck Hayes","2015"
"lopezbr01","Brook Lopez","2015"
"jacksre01","Reggie Jackson","2015"
"bullore01","Reggie Bullock","2015"
"gutiejo01","Jorge Gutierrez","2015"
"milleda01","Darius Miller","2015"
"adamsjo01","Jordan Adams","2015"
"wallage01","Gerald Wallace","2015"
"stiemgr01","Greg Stiemsma","2015"
"kirkal01","Alex Kirk","2015"
"hairspj02","P.J. Hairston","2015"
"tuckepj01","P.J. Tucker","2015"
"kellyry01","Ryan Kelly","2015"
"jonesja02","James Jones","2015"
"leoname01","Meyers Leonard","2015"
"haywobr01","Brendan Haywood","2015"
"smithru01","Russ Smith","2015"
"splitti01","Tiago Splitter","2015"
"leeda02","David Lee","2015"
"rushbr01","Brandon Rush","2015"
"anderky01","Kyle Anderson","2015"
"garcifr01","Francisco Garcia","2015"
"capelca01","Clint Capela","2015"
"lambje01","Jeremy Lamb","2015"
"greener01","Erick Green","2015"
"priceaj01","A.J. Price","2015"
"smithis01","Ish Smith","2015"
"cherrwi01","Will Cherry","2015"
"evansje01","Jeremy Evans","2015"
"hasleud01","Udonis Haslem","2015"
"whittsh01","Shayne Whittington","2015"
"davisgl01","Glen Davis","2015"
"hicksjj01","J.J. Hickson","2015"
"pargoja01","Jannero Pargo","2015"
"warretj01","T.J. Warren","2015"
"biyombi01","Bismack Biyombo","2015"
"morroan01","Anthony Morrow","2015"
"muscami01","Mike Muscala","2015"
"turiaro01","Ronny Turiaf","2015"
"cartemi01","Michael Carter-Williams","2015"
"gordodr01","Drew Gordon","2015"
"harriga01","Gary Harris","2015"
"oladivi01","Victor Oladipo","2015"
"robingl02","Glenn Robinson","2015"
"poweldw01","Dwight Powell","2015"
"jenkijo01","John Jenkins","2015"
"amundlo01","Lou Amundson","2015"
"vonleno01","Noah Vonleh","2015"
"dragizo01","Zoran Dragic","2015"
"covinro01","Robert Covington","2015"
"stokeja01","Jarnell Stokes","2015"
"grangda01","Danny Granger","2015"
"youngni01","Nick Young","2015"
"bealbr01","Bradley Beal","2015"
"lucaska01","Kalin Lucas","2015"
"mohamna01","Nazr Mohammed","2015"
"cabocbr01","Bruno Caboclo","2015"
"noguelu01","Lucas Nogueira","2015"
"caldejo01","Jose Calderon","2015"
"brownma02","Markel Brown","2015"
"calatni01","Nick Calathes","2015"
"martica01","Cartier Martin","2015"
"moreler01","Eric Moreland","2015"
"westda01","David West","2015"
"watsocj01","C.J. Watson","2015"
"jerregr01","Grant Jerrett","2015"
"grantje01","Jerami Grant","2015"
"adrieje01","Jeff Adrien","2015"
"whiteha01","Hassan Whiteside","2015"
"duranke01","Kevin Durant","2015"
"datomlu01","Luigi Datome","2015"
"wilcocj01","C.J. Wilcox","2015"
"cunnida01","Dante Cunningham","2015"
"mekelga01","Gal Mekel","2015"
"leema01","Malcolm Lee","2015"
"meeksjo01","Jodie Meeks","2015"
"morrida01","Darius Morris","2015"
"mcgarmi01","Mitch McGary","2015"
"aldemfu01","Furkan Aldemir","2015"
"obryajo01","Johnny O'Bryant","2015"
"ledori01","Ricky Ledo","2015"
"tayloje03","Jeffery Taylor","2015"
"clavevi01","Victor Claver","2015"
"hillge01","George Hill","2015"
"paynead01","Adreian Payne","2015"
"chrispa01","Patrick Christopher","2015"
"millspa02","Patty Mills","2015"
"feltora01","Raymond Felton","2015"
"webstma02","Martell Webster","2015"
"bargnan01","Andrea Bargnani","2015"
"murryto01","Toure' Murry","2015"
"millsel01","Elijah Millsap","2015"
"gallola01","Langston Galloway","2015"
"williel01","Elliot Williams","2015"
"martike01","Kenyon Martin","2015"
"radulmi01","Miroslav Raduljica","2015"
"johnsty01","Tyler Johnson","2015"
"drewla02","Larry Drew","2015"
"jonesda02","Dahntay Jones","2015"
"millequ01","Quincy Miller","2015"
"greenja01","JaMychal Green","2015"
"mcadoja01","James Michael McAdoo","2015"
"thomaty01","Tyrus Thomas","2015"
"brownlo01","Lorenzo Brown","2015"
"willire02","Reggie Williams","2015"
"lucasjo02","John Lucas III","2015"
"fraziti01","Tim Frazier","2015"
"douglto01","Toney Douglas","2015"
"jamesbe01","Bernard James","2015"
"richaja01","Jason Richardson","2015"
"stockda01","David Stockton","2015"
"lauvejo01","Joffrey Lauvergne","2015"
"walkebi01","Henry Walker","2015"
"barroea01","Earl Barron","2015"
"beaslmi01","Michael Beasley","2015"
"cooleja01","Jack Cooley","2015"
"cottobr01","Bryce Cotton","2015"
"hamiljo02","Jordan Hamilton","2015"
"benimje01","Jerrelle Benimon","2015"
"curryse01","Seth Curry","2015"
"brownja01","Jabari Brown","2015"
"kilpase01","Sean Kilpatrick","2015"
"clarkea01","Earl Clark","2015"
"bynumwi01","Will Bynum","2015"
"hudsole01","Lester Hudson","2015"
"wearda01","David Wear","2015"
"mcneaje01","Jerel McNeal","2015"
"buyckdw01","Dwight Buycks","2015"
"georgpa01","Paul George","2015"
"onuakar01","Arinze Onuaku","2015"
"bhullsi01","Sim Bhullar","2015"
"frankja01","Jamaal Franklin","2015"
"blueva01","Vander Blue","2015"
"curryst01","Stephen Curry","2016"
"jamesle01","LeBron James","2016"
"schrode01","Dennis Schroder","2016"
"drumman01","Andre Drummond","2016"
"willima01","Mo Williams","2016"
"horfoal01","Al Horford","2016"
"bogutan01","Andrew Bogut","2016"
"smithis01","Ish Smith","2016"
"jacksre01","Reggie Jackson","2016"
"butleji01","Jimmy Butler","2016"
"caldwke01","Kentavious Caldwell-Pope","2016"
"loveke01","Kevin Love","2016"
"morrima03","Marcus Morris","2016"
"mirotni01","Nikola Mirotic","2016"
"millspa01","Paul Millsap","2016"
"ilyaser01","Ersan Ilyasova","2016"
"ezelife01","Festus Ezeli","2016"
"perkike01","Kendrick Perkins","2016"
"cunnida01","Dante Cunningham","2016"
"sefolth01","Thabo Sefolosha","2016"
"mooreet01","E'Twaun Moore","2016"
"rosede01","Derrick Rose","2016"
"mcderdo01","Doug McDermott","2016"
"teaguje01","Jeff Teague","2016"
"geeal01","Alonzo Gee","2016"
"speigma01","Marreese Speights","2016"
"jefferi01","Richard Jefferson","2016"
"barneha02","Harrison Barnes","2016"
"greendr01","Draymond Green","2016"
"livinsh01","Shaun Livingston","2016"
"noahjo01","Joakim Noah","2016"
"anderry01","Ryan Anderson","2016"
"pattela01","Lamar Patterson","2016"
"smithjr01","J.R. Smith","2016"
"gordoer01","Eric Gordon","2016"
"dellama01","Matthew Dellavedova","2016"
"johnsst04","Stanley Johnson","2016"
"snellto01","Tony Snell","2016"
"baynear01","Aron Baynes","2016"
"iguodan01","Andre Iguodala","2016"
"gibsota01","Taj Gibson","2016"
"gasolpa01","Pau Gasol","2016"
"splitti01","Tiago Splitter","2016"
"davisan02","Anthony Davis","2016"
"varejan01","Anderson Varejao","2016"
"ajincal01","Alexis Ajinca","2016"
"mozgoti01","Timofey Mozgov","2016"
"thomptr01","Tristan Thompson","2016"
"scottmi01","Mike Scott","2016"
"korveky01","Kyle Korver","2016"
"thompkl01","Klay Thompson","2016"
"robinna01","Nate Robinson","2016"
"rushbr01","Brandon Rush","2016"
"blakest01","Steve Blake","2016"
"mcadoja01","James Michael McAdoo","2016"
"meeksjo01","Jodie Meeks","2016"
"brookaa01","Aaron Brooks","2016"
"jonesja02","James Jones","2016"
"cunnija01","Jared Cunningham","2016"
"muscami01","Mike Muscala","2016"
"barbole01","Leandro Barbosa","2016"
"bazemke01","Kent Bazemore","2016"
"mccolcj01","CJ McCollum","2016"
"rubiori01","Ricky Rubio","2016"
"griffbl01","Blake Griffin","2016"
"westbru01","Russell Westbrook","2016"
"leonaka01","Kawhi Leonard","2016"
"monrogr01","Greg Monroe","2016"
"gallida01","Danilo Gallinari","2016"
"thomais02","Isaiah Thomas","2016"
"favorde01","Derrick Favors","2016"
"lopezbr01","Brook Lopez","2016"
"paulch01","Chris Paul","2016"
"derozde01","DeMar DeRozan","2016"
"valanjo01","Jonas Valanciunas","2016"
"couside01","DeMarcus Cousins","2016"
"boshch01","Chris Bosh","2016"
"walljo01","John Wall","2016"
"willide02","Derrick Williams","2016"
"kanteen01","Enes Kanter","2016"
"farieke01","Kenneth Faried","2016"
"feltora01","Raymond Felton","2016"
"okafoja01","Jahlil Okafor","2016"
"lillada01","Damian Lillard","2016"
"vujacsa01","Sasha Vujacic","2016"
"vasqugr01","Greivis Vasquez","2016"
"walkeke02","Kemba Walker","2016"
"georgpa01","Paul George","2016"
"hardeja01","James Harden","2016"
"wadedw01","Dwyane Wade","2016"
"hibbero01","Roy Hibbert","2016"
"hillge01","George Hill","2016"
"lowryky01","Kyle Lowry","2016"
"willilo02","Lou Williams","2016"
"diawbo01","Boris Diaw","2016"
"martike02","Kevin Martin","2016"
"bryanko01","Kobe Bryant","2016"
"leuerjo01","Jon Leuer","2016"
"gallola01","Langston Galloway","2016"
"crowdja01","Jae Crowder","2016"
"smartma01","Marcus Smart","2016"
"willide01","Deron Williams","2016"
"davised01","Ed Davis","2016"
"johnsam01","Amir Johnson","2016"
"grantje02","Jerian Grant","2016"
"canaais01","Isaiah Canaan","2016"
"koufoko01","Kosta Koufos","2016"
"bargnan01","Andrea Bargnani","2016"
"gordoaa01","Aaron Gordon","2016"
"jeffeal01","Al Jefferson","2016"
"capelca01","Clint Capela","2016"
"mahinia01","Ian Mahinmi","2016"
"nowitdi01","Dirk Nowitzki","2016"
"thomala01","Lance Thomas","2016"
"bealbr01","Bradley Beal","2016"
"noelne01","Nerlens Noel","2016"
"oladivi01","Victor Oladipo","2016"
"bookede01","Devin Booker","2016"
"sullija01","Jared Sullinger","2016"
"denglu01","Luol Deng","2016"
"ginobma01","Manu Ginobili","2016"
"paytoel01","Elfrid Payton","2016"
"lauvejo01","Joffrey Lauvergne","2016"
"burksal01","Alec Burks","2016"
"duranke01","Kevin Durant","2016"
"gortama01","Marcin Gortat","2016"
"pachuza01","Zaza Pachulia","2016"
"milescj01","C.J. Miles","2016"
"randlju01","Julius Randle","2016"
"oquinky01","Kyle O'Quinn","2016"
"carrode01","DeMarre Carroll","2016"
"linje01","Jeremy Lin","2016"
"augusdj01","D.J. Augustin","2016"
"townska01","Karl-Anthony Towns","2016"
"goodwar01","Archie Goodwin","2016"
"leoname01","Meyers Leonard","2016"
"porzikr01","Kristaps Porzingis","2016"
"youngni01","Nick Young","2016"
"harrito02","Tobias Harris","2016"
"stuckro01","Rodney Stuckey","2016"
"plumlma01","Mason Plumlee","2016"
"chalmma01","Mario Chalmers","2016"
"collida01","Darren Collison","2016"
"jordade01","DeAndre Jordan","2016"
"piercpa01","Paul Pierce","2016"
"willima02","Marvin Williams","2016"
"joneste01","Terrence Jones","2016"
"zelleco01","Cody Zeller","2016"
"duncati01","Tim Duncan","2016"
"evansje01","Jeremy Evans","2016"
"gayru01","Rudy Gay","2016"
"greenge01","Gerald Green","2016"
"bartowi01","Will Barton","2016"
"cartemi01","Michael Carter-Williams","2016"
"holliro01","Rondae Hollis-Jefferson","2016"
"porteot01","Otto Porter","2016"
"harriga01","Gary Harris","2016"
"grantje01","Jerami Grant","2016"
"allento01","Tony Allen","2016"
"lawsoty01","Ty Lawson","2016"
"larkish01","Shane Larkin","2016"
"randoza01","Zach Randolph","2016"
"sampsja02","JaKarr Sampson","2016"
"clarkjo01","Jordan Clarkson","2016"
"dragigo01","Goran Dragic","2016"
"conlemi01","Mike Conley","2016"
"crawfja01","Jamal Crawford","2016"
"harremo01","Montrezl Harrell","2016"
"johnsjo02","Joe Johnson","2016"
"villach01","Charlie Villanueva","2016"
"aminual01","Al-Farouq Aminu","2016"
"belinma01","Marco Belinelli","2016"
"redicjj01","J.J. Redick","2016"
"stephla01","Lance Stephenson","2016"
"lavinza01","Zach LaVine","2016"
"poweldw01","Dwight Powell","2016"
"aldrila01","LaMarcus Aldridge","2016"
"hoodro01","Rodney Hood","2016"
"matthwe02","Wesley Matthews","2016"
"bjeline01","Nemanja Bjelica","2016"
"butleca01","Caron Butler","2016"
"bledser01","Eric Bledsoe","2016"
"leeco01","Courtney Lee","2016"
"muhamsh01","Shabazz Muhammad","2016"
"robinth01","Thomas Robinson","2016"
"humphkr01","Kris Humphries","2016"
"leeda02","David Lee","2016"
"millspa02","Patty Mills","2016"
"netora01","Raul Neto","2016"
"harklma01","Maurice Harkless","2016"
"goberru01","Rudy Gobert","2016"
"knighbr03","Brandon Knight","2016"
"morroan01","Anthony Morrow","2016"
"vucevni01","Nikola Vucevic","2016"
"hasleud01","Udonis Haslem","2016"
"garneke01","Kevin Garnett","2016"
"vaughra01","Rashad Vaughn","2016"
"gasolma01","Marc Gasol","2016"
"hilljo01","Jordan Hill","2016"
"ibakase01","Serge Ibaka","2016"
"lopezro01","Robin Lopez","2016"
"pattepa01","Patrick Patterson","2016"
"youngth01","Thaddeus Young","2016"
"beverpa01","Patrick Beverley","2016"
"biyombi01","Bismack Biyombo","2016"
"westda01","David West","2016"
"brownma02","Markel Brown","2016"
"haywago01","Gordon Hayward","2016"
"anthoca01","Carmelo Anthony","2016"
"adamsst01","Steven Adams","2016"
"ellismo01","Monta Ellis","2016"
"harride01","Devin Harris","2016"
"mudiaem01","Emmanuel Mudiay","2016"
"roberan03","Andre Roberson","2016"
"sessira01","Ramon Sessions","2016"
"wrighbr03","Brandan Wright","2016"
"nelsoja01","Jameer Nelson","2016"
"hawessp01","Spencer Hawes","2016"
"winslju01","Justise Winslow","2016"
"jerebjo01","Jonas Jerebko","2016"
"copelch01","Chris Copeland","2016"
"dienggo01","Gorgui Dieng","2016"
"arthuda01","Darrell Arthur","2016"
"mccontj01","T.J. McConnell","2016"
"holidjr01","Jrue Holiday","2016"
"casspom01","Omri Casspi","2016"
"goodedr01","Drew Gooden","2016"
"greenja01","JaMychal Green","2016"
"hezonma01","Mario Hezonja","2016"
"anderky01","Kyle Anderson","2016"
"earlycl01","Cleanthony Early","2016"
"mickejo01","Jordan Mickey","2016"
"parketo01","Tony Parker","2016"
"turneev01","Evan Turner","2016"
"bogdabo02","Bojan Bogdanovic","2016"
"waitedi01","Dion Waiters","2016"
"inglida01","Damien Inglis","2016"
"riverau01","Austin Rivers","2016"
