slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
brookdi01,Dillon Brooks,SMALL FORWARD,23,MEMPHIS GRIZZLIES,18,0,330,49,122,15,40,22,30,9,22,16,10,4,19,50
brookma01,MarShon Brooks,SHOOTING GUARD,30,MEMPHIS GRIZZLIES,29,0,387,76,169,15,54,23,33,12,33,25,9,4,21,33
brownbr01,Bruce Brown,SHOOTING GUARD,22,DETROIT PISTONS,74,56,1449,125,314,24,93,45,60,48,137,91,40,36,46,178
brownja02,Jaylen Brown,SHOOTING GUARD,22,BOSTON CELTICS,74,25,1913,368,792,95,276,133,202,65,248,100,69,32,99,186
brownlo01,Lorenzo Brown,POINT GUARD,28,TORONTO RAPTORS,26,0,212,23,71,6,28,3,3,5,26,28,12,5,16,22
brownst02,Sterling Brown,SHOOTING GUARD,23,MILWAUKEE BUCKS,58,7,1034,145,312,53,147,29,42,29,155,84,25,8,46,88
browntr01,Troy Brown,SMALL FORWARD,19,WASHINGTON WIZARDS,52,10,730,97,234,22,69,32,47,35,110,80,21,5,30,56
brunsja01,Jalen Brunson,POINT GUARD,22,DALLAS MAVERICKS,73,38,1591,264,565,63,181,87,120,25,144,230,37,4,88,127
bryanth01,Thomas Bryant,CENTER,21,WASHINGTON WIZARDS,72,53,1496,309,502,33,99,107,137,113,341,92,25,67,60,126
bullore01,Reggie Bullock,SHOOTING GUARD,27,DETROIT PISTONS,44,44,1355,182,441,114,294,56,64,20,103,109,24,5,54,79
bullore01,Reggie Bullock,SHOOTING GUARD,27,LOS ANGELES LAKERS,19,16,524,63,153,34,99,17,21,2,48,20,16,7,11,30
burketr01,Trey Burke,POINT GUARD,26,NEW YORK KNICKS,33,7,689,148,358,30,86,62,75,15,47,94,21,5,29,33
burketr01,Trey Burke,POINT GUARD,26,DALLAS MAVERICKS,25,1,436,88,190,26,73,41,49,13,24,65,12,2,20,25
burksal01,Alec Burks,SHOOTING GUARD,27,UTAH JAZZ,17,0,269,47,114,16,43,33,38,2,25,20,6,4,15,22
burksal01,Alec Burks,SHOOTING GUARD,27,CLEVELAND CAVALIERS,34,24,979,136,340,45,119,79,98,26,160,98,25,16,46,62
burksal01,Alec Burks,SHOOTING GUARD,27,SACRAMENTO KINGS,13,0,127,9,20,0,6,4,5,2,20,10,8,1,4,7
burtode02,Deonte Burton,SHOOTING GUARD,25,OKLAHOMA CITY THUNDER,32,0,240,33,82,8,27,8,12,4,24,9,6,8,9,31
butleji01,Jimmy Butler,SHOOTING GUARD,29,MINNESOTA TIMBERWOLVES,10,10,361,74,157,17,45,48,61,16,36,43,24,10,14,18
butleji01,Jimmy Butler,SMALL FORWARD,29,PHILADELPHIA 76ERS,55,55,1824,344,747,50,148,264,304,105,185,220,99,29,81,93
cabocbr01,Bruno Caboclo,SMALL FORWARD,23,MEMPHIS GRIZZLIES,34,19,800,96,225,48,130,42,50,42,116,50,14,33,38,81
caldejo01,Jose Calderon,POINT GUARD,37,DETROIT PISTONS,49,0,632,45,120,14,57,9,11,11,49,115,16,3,35,64
caldwke01,Kentavious Caldwell-Pope,SHOOTING GUARD,25,LOS ANGELES LAKERS,82,23,2035,325,756,151,435,137,158,48,190,110,73,13,65,137
canaais01,Isaiah Canaan,POINT GUARD,27,PHOENIX SUNS,19,15,503,51,129,25,72,15,20,5,44,62,12,0,29,46
canaais01,Isaiah Canaan,POINT GUARD,27,MINNESOTA TIMBERWOLVES,7,1,95,11,29,7,19,4,4,0,5,19,2,1,4,4
canaais01,Isaiah Canaan,POINT GUARD,27,MILWAUKEE BUCKS,4,0,31,2,6,2,5,0,0,1,3,3,0,1,2,2
capelca01,Clint Capela,CENTER,24,HOUSTON ROCKETS,67,67,2249,474,732,0,0,166,261,298,550,96,44,102,94,168
carrode01,DeMarre Carroll,POWER FORWARD,32,BROOKLYN NETS,67,8,1703,227,575,106,310,184,242,68,281,85,31,10,73,114
carteje01,Jevon Carter,POINT GUARD,23,MEMPHIS GRIZZLIES,39,3,577,56,185,34,102,26,32,14,52,69,26,11,33,55
cartevi01,Vince Carter,SMALL FORWARD,42,ATLANTA HAWKS,76,9,1330,196,468,123,316,47,66,31,163,87,44,27,48,141
cartewe01,Wendell Carter,CENTER,19,CHICAGO BULLS,44,44,1110,180,371,6,32,89,112,87,220,78,26,58,65,152
cartemi01,Michael Carter-Williams,POINT GUARD,27,HOUSTON ROCKETS,16,1,145,25,61,7,19,12,26,3,10,21,9,6,10,27
cartemi01,Michael Carter-Williams,POINT GUARD,27,ORLANDO MAGIC,12,0,227,21,62,3,19,20,27,16,41,49,11,9,10,21
carusal01,Alex Caruso,POINT GUARD,24,LOS ANGELES LAKERS,25,4,531,77,173,24,50,51,64,20,47,77,24,9,42,54
casspom01,Omri Casspi,SMALL FORWARD,30,MEMPHIS GRIZZLIES,36,0,520,86,161,15,43,39,58,17,98,26,20,9,23,35
caulewi01,Willie Cauley-Stein,CENTER,25,SACRAMENTO KINGS,81,81,2213,412,741,1,2,140,254,181,497,194,96,51,84,227
caupatr01,Troy Caupain,POINT GUARD,23,ORLANDO MAGIC,4,0,16,4,8,2,3,0,0,1,2,4,1,0,0,0
cavanty01,Tyler Cavanaugh,POWER FORWARD,24,UTAH JAZZ,11,0,39,3,10,1,5,2,2,3,5,1,0,0,1,3
chandty01,Tyson Chandler,CENTER,36,PHOENIX SUNS,7,0,89,8,12,0,0,10,18,7,32,6,2,1,7,21
chandty01,Tyson Chandler,CENTER,36,LOS ANGELES LAKERS,48,6,786,53,87,0,1,41,69,85,183,31,19,22,35,89
chandwi01,Wilson Chandler,POWER FORWARD,31,PHILADELPHIA 76ERS,36,32,951,91,207,46,118,13,18,44,124,72,22,18,39,94
chandwi01,Wilson Chandler,SMALL FORWARD,31,LOS ANGELES CLIPPERS,15,1,226,23,66,13,40,5,7,4,43,10,3,3,7,29
chealjo01,Joe Chealey,POINT GUARD,23,CHARLOTTE HORNETS,1,0,8,1,3,0,0,0,0,0,0,1,0,0,0,1
chiozch01,Chris Chiozza,POINT GUARD,23,HOUSTON ROCKETS,7,0,33,2,8,2,5,0,0,1,3,4,1,1,1,2
chrisma01,Marquese Chriss,POWER FORWARD,21,HOUSTON ROCKETS,16,0,104,11,34,1,15,6,7,7,21,6,2,4,12,17
chrisma01,Marquese Chriss,POWER FORWARD,21,CLEVELAND CAVALIERS,27,2,395,56,146,15,57,26,38,33,81,16,15,7,24,64
clarkga01,Gary Clark,POWER FORWARD,24,HOUSTON ROCKETS,51,2,641,50,151,41,138,7,7,24,92,18,20,26,7,47
clarkia01,Ian Clark,SHOOTING GUARD,27,NEW ORLEANS PELICANS,60,6,973,151,383,66,202,33,37,13,76,94,22,8,58,95
clarkjo01,Jordan Clarkson,SHOOTING GUARD,26,CLEVELAND CAVALIERS,81,0,2214,529,1180,144,445,162,192,82,188,196,57,13,135,112
collijo01,John Collins,POWER FORWARD,21,ATLANTA HAWKS,61,59,1829,465,831,55,158,203,266,219,376,121,22,39,120,199
colliza01,Zach Collins,CENTER,21,PORTLAND TRAIL BLAZERS,77,0,1356,189,400,40,121,94,126,109,215,71,25,66,77,174
collida01,Darren Collison,POINT GUARD,31,INDIANA PACERS,76,76,2143,308,659,79,194,158,190,36,196,459,110,9,125,138
colsobo01,Bonzie Colson,SMALL FORWARD,23,MILWAUKEE BUCKS,8,2,98,13,39,5,21,8,9,8,22,3,5,1,3,3
conlemi01,Mike Conley,POINT GUARD,31,MEMPHIS GRIZZLIES,70,70,2342,490,1120,155,426,343,406,40,199,449,94,22,130,123
connapa01,Pat Connaughton,SHOOTING GUARD,26,MILWAUKEE BUCKS,61,2,1261,163,350,66,200,29,40,61,197,122,33,25,33,81
cookqu01,Quinn Cook,POINT GUARD,25,GOLDEN STATE WARRIORS,74,10,1059,204,439,81,200,20,26,22,135,116,20,3,50,92
couside01,DeMarcus Cousins,CENTER,28,GOLDEN STATE WARRIORS,30,30,771,178,371,26,95,106,144,43,204,107,40,44,72,109
covinro01,Robert Covington,SMALL FORWARD,28,PHILADELPHIA 76ERS,13,13,440,50,117,30,77,17,23,7,60,14,24,23,22,45
covinro01,Robert Covington,SMALL FORWARD,28,MINNESOTA TIMBERWOLVES,22,22,763,106,245,55,148,51,66,21,105,32,50,24,25,81
crabbal01,Allen Crabbe,SHOOTING GUARD,26,BROOKLYN NETS,43,20,1133,137,373,98,259,41,56,16,132,46,23,13,46,102
craigto01,Torrey Craig,SMALL FORWARD,28,DENVER NUGGETS,75,37,1503,160,362,61,188,49,70,89,174,72,37,46,44,175
crawfja01,Jamal Crawford,SHOOTING GUARD,38,PHOENIX SUNS,64,0,1211,174,438,67,202,93,110,8,77,229,33,12,99,75
creekmi01,Mitch Creek,SMALL FORWARD,26,BROOKLYN NETS,4,0,36,5,10,0,1,5,7,5,5,5,1,0,0,3
creekmi01,Mitch Creek,SMALL FORWARD,26,MINNESOTA TIMBERWOLVES,1,0,12,3,6,0,1,0,0,1,1,1,1,0,1,0
crowdja01,Jae Crowder,SMALL FORWARD,28,UTAH JAZZ,80,11,2166,318,797,173,522,142,197,60,324,133,64,31,85,170
cunnida01,Dante Cunningham,POWER FORWARD,31,SAN ANTONIO SPURS,64,21,928,75,158,30,65,14,18,48,140,50,27,13,22,71
curryse01,Seth Curry,SHOOTING GUARD,28,PORTLAND TRAIL BLAZERS,74,2,1399,212,465,113,251,44,52,27,93,66,36,12,61,97
curryst01,Stephen Curry,POINT GUARD,30,GOLDEN STATE WARRIORS,69,69,2331,632,1340,354,810,263,287,45,324,361,92,25,192,166
danietr01,Troy Daniels,SHOOTING GUARD,27,PHOENIX SUNS,51,1,760,113,275,74,194,18,23,13,60,26,26,5,27,79
davisan02,Anthony Davis,CENTER,25,NEW ORLEANS PELICANS,56,56,1850,530,1026,48,145,344,433,174,498,218,88,135,112,132
davisde01,Deyonta Davis,CENTER,22,ATLANTA HAWKS,9,0,118,15,22,0,1,6,10,10,26,5,3,5,3,12
davised01,Ed Davis,CENTER,29,BROOKLYN NETS,81,1,1446,186,302,0,2,100,162,216,478,61,35,33,64,226
davisty01,Tyler Davis,CENTER,21,OKLAHOMA CITY THUNDER,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
dedmode01,Dewayne Dedmon,CENTER,29,ATLANTA HAWKS,64,52,1609,259,526,83,217,92,113,105,375,90,69,71,84,214
dekkesa01,Sam Dekker,POWER FORWARD,24,CLEVELAND CAVALIERS,9,5,169,22,48,5,13,8,10,9,24,9,11,0,5,13
dekkesa01,Sam Dekker,POWER FORWARD,24,WASHINGTON WIZARDS,38,0,619,98,208,14,49,20,36,44,71,37,27,7,19,34
delgaan01,Angel Delgado,CENTER,24,LOS ANGELES CLIPPERS,2,0,15,1,5,0,0,1,2,2,2,0,1,0,0,2
dellama01,Matthew Dellavedova,POINT GUARD,28,MILWAUKEE BUCKS,12,0,97,6,19,4,11,4,4,0,10,29,2,0,11,9
dellama01,Matthew Dellavedova,POINT GUARD,28,CLEVELAND CAVALIERS,36,0,715,92,223,40,119,38,48,6,61,152,12,2,57,66
denglu01,Luol Deng,SMALL FORWARD,33,MINNESOTA TIMBERWOLVES,22,2,392,59,118,14,44,25,35,20,53,18,15,8,14,24
derozde01,DeMar DeRozan,SHOOTING GUARD,29,SAN ANTONIO SPURS,77,77,2688,631,1313,7,45,366,441,54,408,475,86,36,199,177
derrima01,Marcus Derrickson,POWER FORWARD,22,GOLDEN STATE WARRIORS,11,0,67,16,33,10,20,4,5,8,5,1,0,1,3,9
diallch01,Cheick Diallo,POWER FORWARD,22,NEW ORLEANS PELICANS,64,1,896,168,271,1,4,50,67,75,257,33,29,33,49,113
diallha01,Hamidou Diallo,SHOOTING GUARD,20,OKLAHOMA CITY THUNDER,51,3,526,75,165,4,24,36,59,38,59,17,21,10,23,77
dienggo01,Gorgui Dieng,CENTER,29,MINNESOTA TIMBERWOLVES,76,2,1031,189,377,19,56,88,106,81,230,72,48,41,57,134
dinwisp01,Spencer Dinwiddie,POINT GUARD,25,BROOKLYN NETS,68,4,1914,366,828,124,370,287,356,26,140,311,40,17,152,187
divindo01,Donte DiVincenzo,SHOOTING GUARD,22,MILWAUKEE BUCKS,27,0,411,50,124,22,83,9,12,16,49,31,13,6,19,38
doncilu01,Luka Doncic,SHOOTING GUARD,19,DALLAS MAVERICKS,72,72,2318,506,1186,168,514,346,485,86,477,429,77,25,247,137
dorsety01,Tyler Dorsey,SHOOTING GUARD,22,ATLANTA HAWKS,27,0,251,32,89,10,39,16,26,9,34,17,7,1,10,20
dorsety01,Tyler Dorsey,SHOOTING GUARD,22,MEMPHIS GRIZZLIES,21,11,447,75,175,34,93,22,35,18,52,39,7,1,17,33
dotsoda01,Damyean Dotson,SHOOTING GUARD,24,NEW YORK KNICKS,73,40,2004,290,698,126,342,73,98,34,228,135,58,10,71,135
doziepj01,PJ Dozier,SHOOTING GUARD,22,BOSTON CELTICS,6,0,51,8,21,2,8,1,2,6,11,5,2,0,0,2
dragigo01,Goran Dragic,POINT GUARD,32,MIAMI HEAT,36,22,991,179,433,57,164,79,101,20,91,174,30,5,71,81
drumman01,Andre Drummond,CENTER,25,DETROIT PISTONS,79,79,2647,561,1052,5,38,243,412,423,809,112,136,138,175,272
dudleja01,Jared Dudley,POWER FORWARD,33,BROOKLYN NETS,59,25,1220,101,239,53,151,32,46,34,121,83,36,16,43,131
dunnkr01,Kris Dunn,POINT GUARD,24,CHICAGO BULLS,46,44,1389,215,506,34,96,55,69,19,168,277,68,21,104,166
duranke01,Kevin Durant,POWER FORWARD,30,GOLDEN STATE WARRIORS,78,78,2702,721,1383,137,388,448,506,33,464,457,58,84,225,155
duvaltr01,Trevon Duval,POINT GUARD,20,MILWAUKEE BUCKS,3,0,6,2,3,1,1,0,0,0,1,2,0,0,0,0
edwarvi01,Vince Edwards,SMALL FORWARD,22,HOUSTON ROCKETS,2,0,16,1,4,1,4,0,0,1,1,0,0,0,0,0
ellenhe01,Henry Ellenson,POWER FORWARD,22,DETROIT PISTONS,2,0,25,4,10,2,4,2,2,0,9,1,0,0,0,2
ellenhe01,Henry Ellenson,POWER FORWARD,22,NEW YORK KNICKS,17,0,234,35,85,15,34,17,23,5,52,15,7,2,9,25
ellinwa01,Wayne Ellington,SHOOTING GUARD,31,MIAMI HEAT,25,12,533,69,184,57,155,14,16,6,41,29,24,3,14,40
ellinwa01,Wayne Ellington,SHOOTING GUARD,31,DETROIT PISTONS,28,26,764,115,273,81,217,25,33,8,52,43,30,3,26,52
embiijo01,Joel Embiid,CENTER,24,PHILADELPHIA 76ERS,64,64,2154,580,1199,79,263,522,649,160,711,234,46,122,226,211
ennisja01,James Ennis,SMALL FORWARD,28,HOUSTON ROCKETS,40,25,949,104,211,44,120,42,58,37,80,27,38,16,23,111
ennisja01,James Ennis,SMALL FORWARD,28,PHILADELPHIA 76ERS,18,2,281,34,83,11,36,16,23,23,42,14,3,7,11,39
eubandr01,Drew Eubanks,POWER FORWARD,21,SAN ANTONIO SPURS,23,0,113,15,26,0,0,11,13,6,28,7,2,5,8,11
evansja02,Jacob Evans,SHOOTING GUARD,21,GOLDEN STATE WARRIORS,30,1,204,18,53,4,15,0,1,6,19,23,5,3,11,28
evansja01,Jawun Evans,POINT GUARD,22,PHOENIX SUNS,7,0,64,3,13,0,2,0,0,1,11,10,3,0,6,8
evansja01,Jawun Evans,POINT GUARD,22,OKLAHOMA CITY THUNDER,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
evansty01,Tyreke Evans,SHOOTING GUARD,29,INDIANA PACERS,69,18,1402,257,660,77,216,115,160,33,168,166,58,18,118,117
exumda01,Dante Exum,POINT GUARD,23,UTAH JAZZ,42,1,664,101,241,18,62,68,86,16,52,110,14,5,52,69
farieke01,Kenneth Faried,CENTER,29,BROOKLYN NETS,12,0,118,25,42,1,5,10,16,15,29,2,2,4,6,8
farieke01,Kenneth Faried,CENTER,29,HOUSTON ROCKETS,25,13,610,131,223,7,20,54,83,82,124,18,15,19,27,74
favorde01,Derrick Favors,CENTER,27,UTAH JAZZ,76,70,1766,363,619,17,78,154,228,207,353,89,56,106,84,163
feliccr01,Cristiano Felicio,CENTER,26,CHICAGO BULLS,60,0,746,95,179,0,4,50,73,79,139,37,11,7,33,69
feltora01,Raymond Felton,POINT GUARD,34,OKLAHOMA CITY THUNDER,33,0,379,55,135,20,61,12,13,4,30,52,10,6,14,29
fergute01,Terrance Ferguson,SHOOTING GUARD,20,OKLAHOMA CITY THUNDER,74,74,1931,185,431,106,290,37,51,33,108,72,40,16,47,231
